URL,Error
{'https://www.basketball-reference.com/boxscores/202210180BOS.html'},''
{'https://www.basketball-reference.com/boxscores/202210180GSW.html'},''
{'https://www.basketball-reference.com/boxscores/202210190DET.html'},''
{'https://www.basketball-reference.com/boxscores/202210190IND.html'},''
{'https://www.basketball-reference.com/boxscores/202210190ATL.html'},''
{'https://www.basketball-reference.com/boxscores/202210190BRK.html'},''
{'https://www.basketball-reference.com/boxscores/202210190MEM.html'},''
{'https://www.basketball-reference.com/boxscores/202210190MIA.html'},''
{'https://www.basketball-reference.com/boxscores/202210190TOR.html'},''
{'https://www.basketball-reference.com/boxscores/202210190MIN.html'},''
{'https://www.basketball-reference.com/boxscores/202210190SAS.html'},''
{'https://www.basketball-reference.com/boxscores/202210190UTA.html'},''
{'https://www.basketball-reference.com/boxscores/202210190PHO.html'},''
{'https://www.basketball-reference.com/boxscores/202210190SAC.html'},''
{'https://www.basketball-reference.com/boxscores/202210200PHI.html'},''
{'https://www.basketball-reference.com/boxscores/202210200LAL.html'},''
{'https://www.basketball-reference.com/boxscores/202210210CHO.html'},''
{'https://www.basketball-reference.com/boxscores/202210210IND.html'},''
{'https://www.basketball-reference.com/boxscores/202210210WAS.html'},''
{'https://www.basketball-reference.com/boxscores/202210210ATL.html'},''
{'https://www.basketball-reference.com/boxscores/202210210BRK.html'},''
{'https://www.basketball-reference.com/boxscores/202210210MIA.html'},''
{'https://www.basketball-reference.com/boxscores/202210210NYK.html'},''
{'https://www.basketball-reference.com/boxscores/202210210HOU.html'},''
{'https://www.basketball-reference.com/boxscores/202210210MIN.html'},''
{'https://www.basketball-reference.com/boxscores/202210210GSW.html'},''
{'https://www.basketball-reference.com/boxscores/202210210POR.html'},''
{'https://www.basketball-reference.com/boxscores/202210220PHI.html'},''
{'https://www.basketball-reference.com/boxscores/202210220IND.html'},''
{'https://www.basketball-reference.com/boxscores/202210220ORL.html'},''
{'https://www.basketball-reference.com/boxscores/202210220CHI.html'},''
{'https://www.basketball-reference.com/boxscores/202210220MIA.html'},''
{'https://www.basketball-reference.com/boxscores/202210220MIL.html'},''
{'https://www.basketball-reference.com/boxscores/202210220DAL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210220DEN.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210220SAC.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210230LAL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210230ATL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210230CLE.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210230NOP.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210230OKC.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210230GSW.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210230LAC.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210240PHI.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210240MIA.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210240NYK.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210240CHI.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202210240HOU.html'},'NoneType' object has no attribute 'text'
