Date,Name,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+-
20221018,tyrese maxey,Philadelphia 76ers,38:11,8,16,.500,2,5,.400,3,3,1.000,0,1,1,2,2,0,1,5,21,13.7,-6
20221018,james harden,Philadelphia 76ers,37:17,9,14,.643,5,9,.556,12,12,1.000,0,8,8,7,0,0,3,3,35,31.9,+1
20221018,joel embiid,Philadelphia 76ers,37:16,9,18,.500,1,6,.167,7,9,.778,1,14,15,5,0,1,6,4,26,17.7,-13
20221018,tobias harris,Philadelphia 76ers,34:14,7,14,.500,3,6,.500,1,2,.500,1,1,2,0,3,0,0,3,18,13.4,-1
20221018,p.j. tucker,Philadelphia 76ers,33:01,3,5,.600,0,2,.000,0,0,0,2,2,4,0,0,1,2,2,6,3.6,-6
20221018,de'anthony melton,Philadelphia 76ers,20:33,2,4,.500,1,2,.500,0,0,0,0,0,0,0,1,0,0,2,5,3.2,-13
20221018,danuel house jr.,Philadelphia 76ers,16:12,0,2,.000,0,1,.000,1,2,.500,0,1,1,1,2,0,1,2,1,0.4,-5
20221018,georges niang,Philadelphia 76ers,12:09,1,4,.250,1,3,.333,0,0,0,0,0,0,1,0,0,0,1,3,0.9,-5
20221018,montrezl harrell,Philadelphia 76ers,10:44,1,3,.333,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,-1.2,+4
20221018,matisse thybulle,Philadelphia 76ers,0:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1
20221018,furkan korkmaz,Philadelphia 76ers,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20221018,shake milton,Philadelphia 76ers,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20221018,paul reed,Philadelphia 76ers,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20221018,jaden springer,Philadelphia 76ers,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20221018,jayson tatum,Boston Celtics,38:38,13,20,.650,2,7,.286,7,9,.778,0,12,12,4,1,1,3,1,35,30.1,+10
20221018,jaylen brown,Boston Celtics,38:34,14,24,.583,4,12,.333,3,3,1.000,0,3,3,2,2,1,4,1,35,24.4,+7
20221018,marcus smart,Boston Celtics,36:05,3,8,.375,1,4,.250,7,8,.875,1,2,3,7,1,0,1,3,14,14.2,0
20221018,derrick white,Boston Celtics,24:02,1,3,.333,0,1,.000,0,1,.000,1,2,3,4,1,0,1,2,2,3.2,+9
20221018,al horford,Boston Celtics,23:06,2,7,.286,2,5,.400,0,0,0,1,4,5,1,0,0,0,4,6,2.9,+8
20221018,grant williams,Boston Celtics,23:57,5,5,1.000,3,3,1.000,2,3,.667,0,1,1,1,0,0,0,3,15,12.9,-3
20221018,malcolm brogdon,Boston Celtics,23:52,7,11,.636,0,2,.000,2,2,1.000,1,1,2,4,2,0,1,2,16,15.1,+9
20221018,noah vonleh,Boston Celtics,20:10,1,2,.500,0,0,0,0,0,0,0,2,2,0,1,1,0,4,2,1.7,+7
20221018,blake griffin,Boston Celtics,8:17,0,2,.000,0,1,.000,1,2,.500,2,3,5,1,0,0,0,3,1,1.0,-5
20221018,sam hauser,Boston Celtics,3:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.4,+3
20221018,jd davison,Boston Celtics,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20221018,justin jackson,Boston Celtics,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20221018,mfiondu kabengele,Boston Celtics,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20221018,luke kornet,Boston Celtics,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20221018,payton pritchard,Boston Celtics,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20221101,zach lavine,Chicago Bulls,37:13,10,21,.476,5,11,.455,4,4,1.000,1,2,3,5,0,0,1,2,29,21.3,+7
20221101,ayo dosunmu,Chicago Bulls,33:01,7,11,.636,1,4,.250,2,2,1.000,0,3,3,4,3,0,2,2,17,16.0,+12
20221101,demar derozan,Chicago Bulls,32:45,8,21,.381,1,2,.500,3,3,1.000,0,4,4,1,3,0,1,2,20,11.6,-1
20221101,nikola vucevic,Chicago Bulls,31:56,3,8,.375,0,1,.000,1,2,.500,3,12,15,2,1,0,1,2,7,8.5,+5
20221101,patrick williams,Chicago Bulls,29:58,5,10,.500,0,3,.000,2,2,1.000,3,4,7,1,1,2,3,2,12,9.6,-8
20221101,alex caruso,Chicago Bulls,25:01,1,4,.250,1,2,.500,1,2,.500,0,4,4,4,0,0,0,1,4,4.8,+11
20221101,goran dragic,Chicago Bulls,19:30,4,8,.500,4,6,.667,3,4,.750,0,2,2,2,0,1,1,0,15,12.3,+7
20221101,derrick jones jr.,Chicago Bulls,16:04,1,4,.250,0,1,.000,2,2,1.000,3,1,4,1,0,1,0,0,4,5.4,+4
